TIME_UTC, LATENCY_AVG, NUM_MESSAGES
19:56:47, 137.6979865771812, 149.0
19:56:48, 121.4668911335578, 891.0
19:56:49, 117.42959295929593, 1818.0
19:56:50, 151.8477822580645, 1984.0
19:56:51, 120.3824471492633, 3122.0
19:56:52, 113.39858989424206, 4255.0
19:56:53, 111.85920903954802, 4425.0
19:56:54, 112.86696730552424, 4435.0
19:56:55, 112.14470695138573, 4402.0
19:56:56, 113.51883030571555, 4514.0
19:56:57, 116.88589015151516, 4224.0
19:56:58, 113.01580939657092, 4491.0
19:56:59, 113.51441543700341, 4405.0
19:57:00, 114.57694085027727, 4328.0
19:57:01, 111.53474860335196, 4475.0
19:57:02, 113.79847396768402, 4456.0
19:57:03, 113.36120630568882, 4377.0
19:57:04, 113.97748464862406, 4397.0
19:57:05, 116.57696827262045, 4255.0
19:57:06, 115.27800734618917, 4356.0
19:57:07, 116.19809346663567, 4301.0
19:57:08, 111.06403940886699, 4466.0
19:57:09, 114.01910541694762, 4449.0
19:57:10, 114.58554778554779, 4290.0
19:57:11, 115.38431730111694, 4387.0
19:57:12, 114.16976427923844, 4412.0
19:57:13, 112.76259977194982, 4385.0
19:57:14, 116.82147838214784, 4302.0
19:57:15, 113.52261768082664, 4355.0
19:57:16, 115.63727500569605, 4389.0
19:57:17, 114.29384756657484, 4356.0
19:57:18, 117.06514657980456, 4298.0
19:57:19, 111.99910112359551, 4450.0
19:57:20, 114.36961503208066, 4364.0
19:57:21, 114.00908059023837, 4405.0
19:57:22, 114.48760330578513, 4356.0
19:57:23, 115.55307125307125, 4070.0
19:57:24, 125.48162200616552, 4217.0
19:57:25, 113.46072576940745, 4354.0
19:57:26, 115.17118142499432, 4393.0
19:57:27, 113.7971933001358, 4418.0
19:57:28, 113.95569188820723, 4401.0
19:57:29, 111.75805729632945, 4468.0
19:57:30, 114.2300925925926, 4320.0
19:57:31, 114.05450399087799, 4385.0
19:57:32, 116.24298205246204, 4346.0
19:57:33, 113.92997913285416, 4313.0
19:57:34, 115.64915486523526, 4378.0
19:57:35, 114.42883128694861, 4398.0
19:57:36, 112.46061293984108, 4405.0
19:57:37, 115.10698839062144, 4393.0
19:57:38, 114.73264604810997, 4365.0
19:57:39, 113.40994776288893, 4403.0
19:57:40, 113.40198339483395, 4336.0
19:57:41, 116.78273878020714, 4345.0
19:57:42, 115.66782972784368, 4299.0
19:57:43, 115.09180855959502, 4346.0
19:57:44, 114.54506046087155, 4383.0
19:57:45, 116.02907801418439, 4230.0
19:57:46, 115.4343728965672, 4457.0
19:57:47, 114.34733700642792, 4356.0
19:57:48, 111.21803315920963, 4403.0
19:57:49, 114.12659645978042, 4463.0
19:57:50, 114.29719061992105, 4307.0
19:57:51, 115.5475, 4400.0
19:57:52, 115.0407501736513, 4319.0
19:57:53, 114.58877644894204, 4348.0
19:57:54, 113.40686051794638, 4402.0
19:57:55, 112.91310251188051, 4419.0
19:57:56, 113.07429585273897, 4509.0
19:57:57, 109.95403064623584, 4503.0
19:57:58, 114.06878427787935, 4376.0
19:57:59, 111.89380137747168, 4501.0
19:58:00, 114.42245989304813, 4301.0
19:58:01, 113.67467149977345, 4414.0
19:58:02, 117.73659343255375, 4233.0
19:58:03, 113.85254083484574, 4408.0
19:58:04, 110.80377777777778, 4500.0
19:58:05, 113.34048257372655, 4476.0
19:58:06, 112.83599550056243, 4445.0
19:58:07, 113.7359614943846, 4363.0
19:58:08, 113.53398058252426, 4429.0
19:58:09, 112.82064105478518, 4399.0
19:58:10, 116.4139211136891, 4310.0
19:58:11, 113.80322287789379, 4406.0
19:58:12, 114.4914033457249, 4304.0
19:58:13, 115.22942246475671, 4398.0
19:58:14, 112.28853127833182, 4412.0
19:58:15, 115.51540744122346, 4381.0
19:58:16, 111.90960071781068, 4458.0
19:58:17, 112.84025559105432, 4382.0
19:58:18, 113.92203623022243, 4361.0
19:58:19, 114.90285841893703, 4478.0
19:58:20, 115.45925752976885, 4283.0
19:58:21, 112.74397115167906, 4437.0
19:58:22, 115.1580286904211, 4322.0
19:58:23, 112.83464744311782, 4439.0
19:58:24, 112.18272646536413, 4504.0
19:58:25, 113.91262359163026, 4349.0
19:58:26, 113.57767756482525, 4435.0
19:58:27, 114.9873920149428, 4283.0
19:58:28, 113.59213759213759, 4477.0
19:58:29, 112.71524715711303, 4309.0
19:58:30, 112.92075471698114, 4505.0
19:58:31, 113.72850372376439, 4431.0
19:58:32, 118.90692066554135, 4147.0
19:58:33, 115.55065055762081, 4304.0
19:58:34, 116.03290511606941, 4437.0
19:58:35, 112.43259192010895, 4406.0
19:58:36, 113.82544040265385, 4371.0
19:58:37, 112.73493975903614, 4482.0
19:58:38, 113.13427080970742, 4409.0
19:58:39, 112.82566918325325, 4371.0
19:58:40, 113.96021457308896, 4474.0
19:58:41, 113.62735199632858, 4358.0
19:58:42, 112.5335914370303, 4391.0
19:58:43, 118.29237288135593, 4248.0
19:58:44, 114.03681951660266, 4427.0
19:58:45, 113.71970040853381, 4406.0
19:58:46, 113.22072586167542, 4381.0
19:58:47, 118.23109843081312, 4206.0
19:58:48, 114.4983930211203, 4356.0
19:58:49, 115.66190921853065, 4274.0
19:58:50, 117.06341124739643, 4321.0
19:58:51, 114.43135037321873, 4421.0
19:58:52, 113.18604124178563, 4413.0
19:58:53, 111.41890989988876, 4495.0
19:58:54, 113.48289322617681, 4355.0
19:58:55, 115.1977298524404, 4405.0
19:58:56, 114.4016036655212, 4365.0
19:58:57, 115.12963394730707, 4289.0
19:58:58, 114.75147392290249, 4410.0
19:58:59, 112.73604287628406, 4478.0
19:59:00, 112.15687160940325, 4424.0
19:59:01, 113.91554439625656, 4381.0
19:59:02, 114.58231917336396, 4355.0
19:59:03, 114.16437414030261, 4362.0
19:59:04, 115.97815589790757, 4349.0
19:59:05, 114.01838819523269, 4405.0
19:59:06, 113.48236889692586, 4424.0
19:59:07, 113.76937142857143, 4375.0
19:59:08, 115.50517836593787, 4345.0
19:59:09, 114.30174216027875, 4305.0
19:59:10, 114.70224977043159, 4356.0
19:59:11, 114.07168458781362, 4464.0
19:59:12, 113.8089835610095, 4319.0
19:59:13, 114.60517946388005, 4402.0
19:59:14, 113.83915441176471, 4352.0
19:59:15, 116.72271249419414, 4306.0
19:59:16, 116.11968209443666, 4278.0
19:59:17, 113.7147266313933, 4536.0
19:59:18, 113.4593713620489, 4295.0
19:59:19, 113.08310749774165, 4428.0
19:59:20, 114.14796971782519, 4359.0
19:59:21, 115.6750629722922, 4367.0
19:59:22, 111.6686230248307, 4430.0
19:59:23, 113.82923008057297, 4468.0
19:59:24, 112.60592830882354, 4352.0
19:59:25, 115.10054595086443, 4396.0
19:59:26, 113.1866515837104, 4420.0
19:59:27, 113.68626996990044, 4319.0
19:59:28, 115.45616845960174, 4369.0
19:59:29, 114.78275862068965, 4350.0
19:59:30, 114.52106838590836, 4343.0
19:59:31, 116.05376101197199, 4427.0
19:59:32, 113.25891009427454, 4349.0
19:59:33, 110.29710610932476, 1555.0
19:59:34, 236.13817462560044, 3539.0
19:59:35, 115.65135507579238, 4354.0
19:59:36, 113.08516988062442, 4356.0
19:59:37, 112.78179775280898, 4450.0
19:59:38, 113.31892629663331, 4396.0
19:59:39, 113.47323436797122, 4446.0
19:59:40, 137.15975162291844, 3543.0
19:59:41, 113.24778956675509, 4524.0
19:59:42, 112.5304114490161, 4472.0
19:59:43, 116.49435028248588, 4248.0
19:59:44, 115.96175504458002, 4262.0
19:59:45, 115.78048225659691, 4396.0
19:59:46, 116.21723896285914, 4281.0
19:59:47, 112.25738111336489, 4437.0
19:59:48, 115.44888068312947, 4333.0
19:59:49, 115.42246111619396, 4372.0
19:59:50, 114.14786620530565, 4335.0
19:59:51, 113.90044843049327, 4460.0
19:59:52, 115.3135184760156, 4357.0
19:59:53, 111.40018231540566, 4388.0
